neighborhood,zipCode,medianListingPrice,pricePerSF
Blmngtn,50010,240000,149
Blueste,50014,150000,150
BrDale,50010,225000,157
BrkSide,50010,165000,125
ClearCr,50010,590000,233
CollgCr,50014,200000,144
Crawfor,50014,290000,168
Edwards,50014,275000,203
Gilbert,50010,261000,156
IDOTRR,50010,225000,157
MeadowV,50010,126000,120
Mitchel,50010,190000,149
NAmes,50010,195000,158
NPkVill,50010,156000,104
NWAmes,50010,258000,167
NoRidge,50014,389000,157
NridgHt,50010,438000,185
OldTown,50010,160000,121
SWISU,50014,265000,142
Sawyer,50014,186000,159
SawyerW,50014,241000,139
Somerst,50010,284000,175
StoneBr,50010,254000,173
Timber,50014,255000,167
Veenker,50014,344500,130
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
